id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,full_country_name
2649,ESGJ,medium_airport,Jönköping Airport,57.757598876953125,14.068699836730955,741.0,EU,SE,SE-F,Jönköping,yes,ESGJ,JKG,,http://www.lfv.se/templates/LFV_AirportStartPage____1672.aspx,https://en.wikipedia.org/wiki/J%C3%B6nk%C3%B6ping_Airport,,Sweden
2652,ESGP,medium_airport,Gothenburg City Airport,57.7747,11.8704,59.0,EU,SE,SE-Q,Gothenburg,no,ESGP,GSE,,https://www.saveflygplats.com/,https://en.wikipedia.org/wiki/Gothenburg_City_Airport,"Säve Airport, Göteborg City Airport",Sweden
2653,ESGR,medium_airport,Skövde Airport,58.456402,13.9727,324.0,EU,SE,SE-Q,Skövde,no,ESGR,KVB,,,https://en.wikipedia.org/wiki/Sk%C3%B6vde_Airport,,Sweden
2654,ESGT,medium_airport,Trollhättan-Vänersborg Airport,58.31809997558594,12.345000267028809,137.0,EU,SE,SE-Q,Trollhättan,yes,ESGT,THN,,,https://en.wikipedia.org/wiki/Trollh%C3%A4ttan-V%C3%A4nersborg_Airport,,Sweden
2656,ESIB,medium_airport,Såtenäs Air Base,58.42639923095703,12.714400291442873,181.0,EU,SE,SE-Q,Såtenäs,no,ESIB,,,,,,Sweden
2658,ESKK,medium_airport,Karlskoga Airport,59.345901,14.4959,407.0,EU,SE,SE-T,,no,ESKK,KSK,,https://karlskoga-airport.se/,https://en.wikipedia.org/wiki/Karlskoga_Airport,,Sweden
2659,ESKM,medium_airport,Mora Airport,60.957901,14.5114,634.0,EU,SE,SE-W,Mora,yes,ESKM,MXX,,,https://en.wikipedia.org/wiki/Mora-Siljan_Airport,,Sweden
2660,ESKN,medium_airport,Stockholm Skavsta Airport,58.788601,16.912201,140.0,EU,SE,SE-D,Nyköping,yes,ESKN,NYO,,,https://en.wikipedia.org/wiki/Stockholm-Skavsta_Airport,,Sweden
316498,ESKS,medium_airport,Scandinavian Mountains Airport,61.158393,12.842503,1608.0,EU,SE,SE-W,Malung-Sälen,yes,ESKS,SCR,,https://scandinavianmountains.se/en/home/,https://en.wikipedia.org/wiki/Scandinavian_Mountains_Airport,"Sälens Flygplats, Trysil",Sweden
2664,ESMK,medium_airport,Kristianstad Airport,55.92169952392578,14.08549976348877,76.0,EU,SE,SE-M,Kristianstad,yes,ESMK,KID,,,https://en.wikipedia.org/wiki/Kristianstad_Airport,,Sweden
2668,ESMQ,medium_airport,Kalmar Airport,56.685501,16.2876,17.0,EU,SE,SE-H,Kalmar,yes,ESMQ,KLR,,,https://en.wikipedia.org/wiki/Kalmar_Airport,,Sweden
2669,ESMS,medium_airport,Malmö Sturup Airport,55.54833,13.35333,236.0,EU,SE,SE-M,Malmö,yes,ESMS,MMX,,http://www.swedavia.com/malmo/,https://en.wikipedia.org/wiki/Malm%C3%B6_Airport,,Sweden
2670,ESMT,medium_airport,Halmstad Airport,56.69110107421875,12.820199966430664,101.0,EU,SE,SE-N,Halmstad,yes,ESMT,HAD,,,https://en.wikipedia.org/wiki/Halmstad_Airport,,Sweden
2672,ESMX,medium_airport,Växjö Kronoberg Airport,56.92910003662109,14.727999687194824,610.0,EU,SE,SE-G,Växjö,yes,ESMX,VXO,,,https://en.wikipedia.org/wiki/V%C3%A4xj%C3%B6_Airport,,Sweden
2675,ESND,medium_airport,Sveg Airport,62.047798,14.4229,1178.0,EU,SE,SE-Z,Sveg,yes,ESND,EVG,,,https://en.wikipedia.org/wiki/Sveg_Airport,,Sweden
2676,ESNG,medium_airport,Gällivare Airport,67.13240051269531,20.814599990844727,1027.0,EU,SE,SE-BD,Gällivare,yes,ESNG,GEV,,,https://en.wikipedia.org/wiki/G%C3%A4llivare_Airport,,Sweden
2679,ESNK,medium_airport,Kramfors-Sollefteå Höga Kusten Airport,63.048599,17.7689,34.0,EU,SE,SE-Y,Nyland,yes,ESNK,KRF,,,https://en.wikipedia.org/wiki/Kramfors_Airport,,Sweden
2680,ESNL,medium_airport,Lycksele Airport,64.548302,18.7162,705.0,EU,SE,SE-AC,Lycksele,yes,ESNL,LYC,,,https://en.wikipedia.org/wiki/Lycksele_Airport,,Sweden
2682,ESNN,medium_airport,Sundsvall-Härnösand Airport,62.528099060058594,17.443899154663086,16.0,EU,SE,SE-Y,Sundsvall/ Härnösand,yes,ESNN,SDL,,,https://en.wikipedia.org/wiki/Sundsvall-H%C3%A4rn%C3%B6sand_Airport,,Sweden
2683,ESNO,medium_airport,Örnsköldsvik Airport,63.40829849243164,18.989999771118164,354.0,EU,SE,SE-Y,Örnsköldsvik,yes,ESNO,OER,,,https://en.wikipedia.org/wiki/%C3%96rnsk%C3%B6ldsvik_Airport,,Sweden
2685,ESNQ,medium_airport,Kiruna Airport,67.821998596191,20.336799621582,1508.0,EU,SE,SE-BD,Kiruna,yes,ESNQ,KRN,,https://www.swedavia.com/kiruna/,https://en.wikipedia.org/wiki/Kiruna_Airport,,Sweden
2687,ESNS,medium_airport,Skellefteå Airport,64.62480163574219,21.07690048217773,157.0,EU,SE,SE-AC,Skellefteå,yes,ESNS,SFT,,,https://en.wikipedia.org/wiki/Skellefte%C3%A5_Airport,,Sweden
2689,ESNU,medium_airport,Umeå Airport,63.791801452637,20.282800674438,24.0,EU,SE,SE-AC,Umeå,yes,ESNU,UME,,https://www.swedavia.com/umea/,https://en.wikipedia.org/wiki/Ume%C3%A5_Airport,,Sweden
2690,ESNV,medium_airport,Vilhelmina South Lapland Airport,64.579102,16.833599,1140.0,EU,SE,SE-AC,Vilhelmina,yes,ESNV,VHM,,,https://en.wikipedia.org/wiki/Vilhelmina_Airport,,Sweden
2691,ESNX,medium_airport,Arvidsjaur Airport,65.59030151367188,19.28190040588379,1245.0,EU,SE,SE-BD,Arvidsjaur,yes,ESNX,AJR,,,https://en.wikipedia.org/wiki/Arvidsjaur_Airport,,Sweden
2692,ESNY,medium_airport,Söderhamn Airport,61.261501,17.0991,88.0,EU,SE,SE-X,Söderhamn,no,ESNY,SOO,,http://www.flygstaden.se/flygf-ltet,https://en.wikipedia.org/wiki/S%C3%B6derhamn_Airport,,Sweden
29358,ESNZ,medium_airport,Åre Östersund Airport,63.194135,14.500322,1233.0,EU,SE,SE-Z,Östersund,yes,ESNZ,OSD,,https://www.swedavia.com/ostersund/,https://en.wikipedia.org/wiki/%C3%85re_%C3%96stersund_Airport,"F4 Frösön Air Base, ESPC",Sweden
2693,ESOE,medium_airport,Örebro Airport,59.22370147705078,15.038000106811523,188.0,EU,SE,SE-T,Örebro,yes,ESOE,ORB,,,https://en.wikipedia.org/wiki/%C3%96rebro_Airport,,Sweden
2694,ESOH,medium_airport,Hagfors Airport,60.0201,13.5789,474.0,EU,SE,SE-S,Råda,yes,ESOH,HFS,,,https://en.wikipedia.org/wiki/Hagfors_Airport,,Sweden
2695,ESOK,medium_airport,Karlstad Airport,59.4446983337,13.3374004364,352.0,EU,SE,SE-S,Karlstad,yes,ESOK,KSD,,,https://en.wikipedia.org/wiki/Karlstad_Airport,,Sweden
2696,ESOW,medium_airport,Stockholm Västerås Airport,59.58940124511719,16.63360023498535,21.0,EU,SE,SE-U,Stockholm / Västerås,yes,ESOW,VST,,,https://en.wikipedia.org/wiki/Stockholm-V%C3%A4ster%C3%A5s_Airport,,Sweden
2697,ESPA,medium_airport,Luleå Airport,65.5438,22.122,65.0,EU,SE,SE-BD,Luleå,yes,ESPA,LLA,,https://www.swedavia.com/lulea/,https://en.wikipedia.org/wiki/Lule%C3%A5_Airport,Kallax Air Base,Sweden
2701,ESSA,large_airport,Stockholm-Arlanda Airport,59.64849,17.928829,137.0,EU,SE,SE-AB,Stockholm,yes,ESSA,ARN,,http://www.swedavia.se/arlanda/,https://en.wikipedia.org/wiki/Stockholm-Arlanda_Airport,,Sweden
2702,ESSB,medium_airport,Stockholm-Bromma Airport,59.354400634765625,17.941699981689453,47.0,EU,SE,SE-AB,Stockholm,yes,ESSB,BMA,,,https://en.wikipedia.org/wiki/Stockholm-Bromma_Airport,,Sweden
2703,ESSD,medium_airport,Dala Airport,60.422001,15.5152,503.0,EU,SE,SE-W,Borlange,yes,ESSD,BLE,,https://www.dalaflyget.se/,https://en.wikipedia.org/wiki/Borl%C3%A4nge_Airport,,Sweden
2705,ESSK,medium_airport,Gävle Sandviken Airport,60.5933,16.951401,224.0,EU,SE,SE-X,Gävle / Sandviken,no,ESSK,GVX,,,https://en.wikipedia.org/wiki/G%C3%A4vle-Sandviken_Airport,,Sweden
2706,ESSL,medium_airport,Linköping City Airport,58.4062004089,15.6805000305,172.0,EU,SE,SE-E,Linköping,yes,ESSL,LPI,,http://www.linkopingsflygplats.se/,https://en.wikipedia.org/wiki/Link%C3%B6ping_SAAB_Airport,,Sweden
2707,ESSP,medium_airport,Norrköping Airport,58.58629989624024,16.250600814819336,32.0,EU,SE,SE-E,Norrköping,yes,ESSP,NRK,,,https://en.wikipedia.org/wiki/Norrk%C3%B6ping_Airport,Kungsangen,Sweden
